"category","region","state","year","amount"
"Population_(Thousands)","Southeast","Tennessee",1998,5570
"Population_(Thousands)","Southwest","Texas",1998,20158
"Population_(Thousands)","Rocky Mountains","Utah",1998,2166
"Population_(Thousands)","New England","Vermont",1998,600
"Population_(Thousands)","Southeast","Virginia",1998,6901
"Population_(Thousands)","Far West","Washington",1998,5770
"Population_(Thousands)","Southeast","West Virginia",1998,1816
"Population_(Thousands)","Great Lakes","Wisconsin",1998,5298
"Population_(Thousands)","Rocky Mountains","Wyoming",1998,491
"Population_(Thousands)","Southeast","Alabama",1999,4430
"Population_(Thousands)","Far West","Alaska",1999,625
"Population_(Thousands)","Southwest","Arizona",1999,5024
"Population_(Thousands)","Southeast","Arkansas",1999,2652
"Population_(Thousands)","Far West","California",1999,33499
"Population_(Thousands)","Rocky Mountains","Colorado",1999,4226
"Population_(Thousands)","New England","Connecticut",1999,3386
"Population_(Thousands)","Mideast","Delaware",1999,775
"Population_(Thousands)","Mideast","District of Columbia",1999,570
"Population_(Thousands)","Southeast","Florida",1999,15759
"Population_(Thousands)","Southeast","Georgia",1999,8046
"Population_(Thousands)","Far West","Hawaii",1999,1210
"Population_(Thousands)","Rocky Mountains","Idaho",1999,1276
"Population_(Thousands)","Great Lakes","Illinois",1999,12359
"Population_(Thousands)","Great Lakes","Indiana",1999,6045
"Population_(Thousands)","Plains","Iowa",1999,2918
"Population_(Thousands)","Plains","Kansas",1999,2678
"Population_(Thousands)","Southeast","Kentucky",1999,4018
"Population_(Thousands)","Southeast","Louisiana",1999,4461
"Population_(Thousands)","New England","Maine",1999,1267
"Population_(Thousands)","Mideast","Maryland",1999,5255
"Population_(Thousands)","New England","Massachusetts",1999,6317
"Population_(Thousands)","Great Lakes","Michigan",1999,9897
"Population_(Thousands)","Plains","Minnesota",1999,4873
"Population_(Thousands)","Southeast","Mississippi",1999,2828
"Population_(Thousands)","Plains","Missouri",1999,5562
"Population_(Thousands)","Rocky Mountains","Montana",1999,898
"Population_(Thousands)","Plains","Nebraska",1999,1705
"Population_(Thousands)","Far West","Nevada",1999,1935
"Population_(Thousands)","New England","New Hampshire",1999,1222
"Population_(Thousands)","Mideast","New Jersey",1999,8360
"Population_(Thousands)","Southwest","New Mexico",1999,1808
"Population_(Thousands)","Mideast","New York",1999,18883
"Population_(Thousands)","Southeast","North Carolina",1999,7949
"Population_(Thousands)","Plains","North Dakota",1999,644
"Population_(Thousands)","Great Lakes","Ohio",1999,11335
"Population_(Thousands)","Southwest","Oklahoma",1999,3437
"Population_(Thousands)","Far West","Oregon",1999,3394
"Population_(Thousands)","Mideast","Pennsylvania",1999,12264
"Population_(Thousands)","New England","Rhode Island",1999,1040
"Population_(Thousands)","Southeast","South Carolina",1999,3975
"Population_(Thousands)","Plains","South Dakota",1999,750
"Population_(Thousands)","Southeast","Tennessee",1999,5639
"Population_(Thousands)","Southwest","Texas",1999,20558
"Population_(Thousands)","Rocky Mountains","Utah",1999,2203
"Population_(Thousands)","New England","Vermont",1999,605
"Population_(Thousands)","Southeast","Virginia",1999,7000
"Population_(Thousands)","Far West","Washington",1999,5843
"Population_(Thousands)","Southeast","West Virginia",1999,1812
"Population_(Thousands)","Great Lakes","Wisconsin",1999,5333
"Population_(Thousands)","Rocky Mountains","Wyoming",1999,492
"Population_(Thousands)","Southeast","Alabama",2000,4452
"Population_(Thousands)","Far West","Alaska",2000,628
"Population_(Thousands)","Southwest","Arizona",2000,5161
"Population_(Thousands)","Southeast","Arkansas",2000,2679
"Population_(Thousands)","Far West","California",2000,33988
"Population_(Thousands)","Rocky Mountains","Colorado",2000,4327
"Population_(Thousands)","New England","Connecticut",2000,3412
"Population_(Thousands)","Mideast","Delaware",2000,786
"Population_(Thousands)","Mideast","District of Columbia",2000,572
"Population_(Thousands)","Southeast","Florida",2000,16048
"Population_(Thousands)","Southeast","Georgia",2000,8227
"Population_(Thousands)","Far West","Hawaii",2000,1214
"Population_(Thousands)","Rocky Mountains","Idaho",2000,1299
"Population_(Thousands)","Great Lakes","Illinois",2000,12434
"Population_(Thousands)","Great Lakes","Indiana",2000,6092
"Population_(Thousands)","Plains","Iowa",2000,2929
"Population_(Thousands)","Plains","Kansas",2000,2694
"Population_(Thousands)","Southeast","Kentucky",2000,4049
"Population_(Thousands)","Southeast","Louisiana",2000,4472
"Population_(Thousands)","New England","Maine",2000,1277
"Population_(Thousands)","Mideast","Maryland",2000,5311
"Population_(Thousands)","New England","Massachusetts",2000,6361
"Population_(Thousands)","Great Lakes","Michigan",2000,9952
"Population_(Thousands)","Plains","Minnesota",2000,4934
"Population_(Thousands)","Southeast","Mississippi",2000,2848
